id,numero,tema,pregunta,A,B,C,respuesta,archivo,requiere_figura
PREG202411060128,5177.2,INSTRUMENTOS DE VUELO,5177.2- ¿Cuál podría ser un resultado de exceder el número Mach crítico?,Pérdida aerodinámica en la hélice.,Reducción de la resistencia.,Dificultades en el control de la aeronave.,C,DownloadBalotario (1).pdf,False
PREG202411060129,5178,INSTRUMENTOS DE VUELO,5178.- ¿Qué enunciado es verdadero sobre la desviación magnética de una brújula? La desviación:,varía con el tiempo a medida que cambia la línea agónica.,varía para diferentes rumbos de la misma aeronave.,es la misma para todos los aviones que se encuentren en la misma posición.,B,DownloadBalotario (1).pdf,False
PREG202411060130,5191,INSTRUMENTOS DE VUELO,5191.- Nombra los cuatro fundamentos involucrados en maniobrar una aeronave:,"potencia, cabeceo, alabeo y compensación.","empuje, sustentación, virajes y planeos.","vuelo recto y nivelado, virajes, ascensos y descensos.",C,DownloadBalotario (1).pdf,False
PREG202411060131,5233,INSTRUMENTOS DE VUELO,5233.- (Refiérase a la Figura 5). La línea vertical desde el punto D al punto G está representada en el indicador de velocidad por el límite superior de velocidad del:,arco verde.,arco amarillo.,arco blanco.,A,DownloadBalotario (1).pdf,True
PREG202411060132,5268,INSTRUMENTOS DE VUELO,5268.- ¿Cuál es la diferencia funcional entre el coordinador de virajes y el indicador de virajes y deslizamiento? El coordinador de virajes:,es siempre eléctrico; el indicador de virajes y deslizamiento funciona siempre con el sistema de vacío.,indica únicamente el ángulo de alabeo; el indicador de virajes y deslizamiento indica régimen de virajes y la coordinación.,"indica el régimen de alabeo, el régimen de viraje y la coordinación; el indicador de viraje y deslizamiento indica el régimen de viraje y la coordinación.",C,DownloadBalotario (1).pdf,False
PREG202411060133,5269,INSTRUMENTOS DE VUELO,5269.- ¿Cuál es la ventaja de un coordinador de virajes eléctrico si el avión tiene un sistema de vacío para otros instrumentos giroscópicos?,Es un respaldo en caso de falla del sistema de vacío.,Es más confiable que los indicadores accionados por bomba de vacío.,No caerá al igual que los indicadores accionados por bomba de vacío.,A,DownloadBalotario (1).pdf,False
PREG202411060134,5270,INSTRUMENTOS DE VUELO,"5270.- Si se realiza un viraje estándar, ¿cuánto tiempo tomaría recorrer 360°?",1 minuto.,2 minutos.,3 minutos.,B,DownloadBalotario (1).pdf,False
PREG202411060135,5408,INSTRUMENTOS DE VUELO,"5408.- Un avión está ubicado en un aeropuerto con una elevación de 5,000 pies MSL y una temperatura de 90 grados F. El altímetro está ajustado para la altura del aeropuerto. Más tarde esa noche, la temperatura desciende a 50 grados F. menos que se cambie el ajuste del altímetro, se leerá:","4,800 pies.","5,000 pies.","5,200 pies.",C,DownloadBalotario (1).pdf,False
PREG202411060136,5601,INSTRUMENTOS DE VUELO,5601.- La velocidad calibrada se describe mejor como la velocidad indicada corregida por:,error de instalación y del instrumento.,error del instrumento.,temperatura no estándar.,A,DownloadBalotario (1).pdf,False
PREG202411060137,5602,INSTRUMENTOS DE VUELO,5602.- La velocidad verdadera se describe mejor como velocidad calibrada corregida por:,error de instalación o del instrumento.,temperatura no estándar.,altitud y temperatura no estándar.,C,DownloadBalotario (1).pdf,False
PREG202411060138,5604,INSTRUMENTOS DE VUELO,5604.- ¿Por qué deben evitarse velocidades de vuelo superiores a VNE?,La resistencia inducida en exceso producirá una falla estructural.,Los factores de carga límite de diseño pueden excederse si se encuentran ráfagas.,La efectividad del control se ve tan afectada que la aeronave se vuelve incontrolable.,B,DownloadBalotario (1).pdf,False
PREG202411060139,5604.1,INSTRUMENTOS DE VUELO,5604.1.- Es más probable que ocurran daños o fallas estructurales con aire en calma a velocidades por encima de:,VNO.,VA.,VNE.,C,DownloadBalotario (1).pdf,False
PREG202411060140,5605,INSTRUMENTOS DE VUELO,5605.- La velocidad máxima de crucero estructural es la velocidad máxima a la que se puede operar un avión durante:,maniobras abruptas.,operaciones normales.,vuelo con aire en calma.,B,DownloadBalotario (1).pdf,False
PREG202411060141,5669,INSTRUMENTOS DE VUELO,5669.- Un piloto está entrando a un área donde se han reportado turbulencias de aire claro significativas. ¿Qué acción es la correcta al encontrar la primera onda?,Mantener la altitud y la velocidad.,Ajustar la velocidad a la recomendada para aire turbulento.,Iniciar un ascenso o descenso suave a la velocidad de maniobra.,B,DownloadBalotario (1).pdf,False
PREG202411060142,5670,INSTRUMENTOS DE VUELO,"5670.- Si se encuentran turbulencias severas durante el vuelo, el piloto debe reducir la velocidad a:",velocidad mínima de control.,velocidad de maniobra.,velocidad máxima de crucero estructural.,B,DownloadBalotario (1).pdf,False
PREG202411060143,5740,INSTRUMENTOS DE VUELO,"5740.- Para determinar la altitud de presión antes del despegue, el altímetro debe ajustarse a:",el ajuste actual del altímetro.,29.92'' Hg y leer la altitud indicada en el altímetro.,la elevación del campo y la indicación de presión en la ventanilla de ajuste del altímetro.,B,DownloadBalotario (1).pdf,False
PREG202411060144,5741,INSTRUMENTOS DE VUELO,5741.- ¿Cuál es la mejor técnica para minimizar el factor de carga en el ala cuando se vuela en turbulencia severa?,"Cambiar los ajustes de potencia, según sea necesario, para mantener una velocidad constante.","Controlar la velocidad con potencia, mantener las alas niveladas y aceptar cambios de altitud.","Ajustar la potencia y compensar para obtener una velocidad igual o inferior a la velocidad de maniobra, mantener las alas niveladas y aceptar cambios de velocidad y altitud.",C,DownloadBalotario (1).pdf,False
PREG202411060145,5999.2,INSTRUMENTOS DE VUELO,5999.2.- ¿Qué se debe tener en cuenta al utilizar un GPS portátil para navegación VFR?,La precisión de la posición puede degradarse sin notificación.,La capacidad RAIM se mantendrá durante todo el vuelo.,Los puntos de la ruta seguirán siendo precisos incluso si la base de datos no está actualizada.,A,DownloadBalotario (1).pdf,False
PREG202411060146,5999.3,INSTRUMENTOS DE VUELO,5999.3.- Está volando una aeronave equipada con una pantalla electrónica de vuelo (EFD) y la computadora de datos de aire (ADC) falla. ¿Qué instrumento se verá afectado?,Capacidad ADS-B In.,Indicador de velocidad.,Indicador de actitud.,B,DownloadBalotario (1).pdf,False
PREG202411060305,5301,METEOROLOGÍA,5301.- Todo proceso físico del tiempo va acompañado o es el resultado de:,una transferencia de calor.,el movimiento del aire.,un diferencial de presión.,A,DownloadBalotario (2).pdf,False
PREG202411060306,5304,METEOROLOGÍA,5304.- ¿Qué condiciones son favorables para la formación de una inversión de temperatura en superficie?,Noches despejadas y frescas con viento en calma o ligero.,Zona de aire inestable que transfiere rápidamente el calor de la superficie.,Amplias zonas de cúmulos con bases lisas y niveladas a la misma altura.,A,DownloadBalotario (2).pdf,False
PREG202411060307,5310,METEOROLOGÍA,5310.- ¿Qué causa el viento?,La rotación de la tierra.,Modificación de la masa de aire.,Diferencias de presión.,C,DownloadBalotario (2).pdf,False
PREG202411060308,5311,METEOROLOGÍA,"5311.- En el hemisferio norte, el viento se desvía hacia la:",derecha por la fuerza de Coriolis.,derecha por la fricción de la superficie.,izquierda por la fuerza de Coriolis.,A,DownloadBalotario (2).pdf,False
PREG202411060309,5312,METEOROLOGÍA,5312.- ¿Por qué el viento tiende a fluir en paralelo a las isobaras de presión por encima del nivel de fricción?,La fuerza de Coriolis tiende a contrarrestar el gradiente de presión horizontal.,La fuerza de Coriolis actúa perpendicularmente a una línea que une los máximos y los mínimos.,La fricción del aire con la tierra desvía el aire perpendicularmente al gradiente de presión.,A,DownloadBalotario (2).pdf,False
PREG202411060310,5313,METEOROLOGÍA,5313.- El sistema de vientos asociado a una zona de bajas presiones en el hemisferio norte es:,un anticiclón y es causado por el aire frío descendente.,un ciclón y es causado por la fuerza de Coriolis.,un anticiclón y es causado por la fuerza de Coriolis.,B,DownloadBalotario (2).pdf,False
PREG202411060311,5314,METEOROLOGÍA,5314.- Con respecto a los patrones de flujo de viento mostrados en los gráficos de análisis de superficie; cuando las isobaras son:,cercanas y la fuerza del gradiente de presión es leve y las velocidades del viento son más débiles.,lejanas y la fuerza del gradiente de presión es mayor y las velocidades del viento son más fuertes.,cercanas y la fuerza del gradiente de presión es mayor y las velocidades del viento son más fuertes.,C,DownloadBalotario (2).pdf,False
PREG202411060312,5315,METEOROLOGÍA,5315.- ¿Qué impide que el aire fluya directamente de las zonas de alta presión a las de baja presión?,Fuerza de Coriolis.,Fricción superficial.,Fuerza de gradiente de presión.,A,DownloadBalotario (2).pdf,False
PREG202411060313,5316,METEOROLOGÍA,"5316.- Mientras se vuela a campo traviesa, en el hemisferio norte, se experimenta un viento cruzado continuo a la izquierda el cual está asociado a un sistema de viento alto. Esto indica que usted:",está volando hacia una zona de condiciones generalmente desfavorables.,se encuentra volando desde una zona con condiciones meteorológicas desfavorables.,no se puede determinar las condicione meteorológicas sin conocer los cambios de presión.,A,DownloadBalotario (2).pdf,False
PREG202411060314,5317,METEOROLOGÍA,5317.- ¿Qué afirmación es cierta con respecto a un sistema de alta o baja presión?,Una zona de alta presión o cresta es un área de aire ascendente.,Una zona de baja presión o vaguada es una zona de aire descendente.,Una zona de alta presión o cresta es una zona de aire descendente.,C,DownloadBalotario (2).pdf,False
PREG202411060315,5318,METEOROLOGÍA,5318.- ¿Qué afirmación es cierta respecto a los sistemas de alta o baja presión?,Una zona de alta presión o cresta es un área de aire ascendente.,Una zona de bajas presiones o vaguada es una zona de aire ascendente.,Tanto las zonas de alta como de baja presión se caracterizan por el aire descendente.,B,DownloadBalotario (2).pdf,False
PREG202411060316,5319,METEOROLOGÍA,"5319.- Cuando se vuela hacia una zona de bajas presiones en el hemisferio norte, la dirección y la velocidad del viento será:",a la izquierda y disminuyendo.,a la izquierda y aumentando.,derecha y disminuyendo.,B,DownloadBalotario (2).pdf,False
PREG202411060317,5320,METEOROLOGÍA,5320.- ¿Qué afirmación es cierta en cuanto a la temperatura real del aire y la dispersión de la temperatura del punto de rocío? La dispersión de la temperatura:,disminuye a medida que la humedad relativa disminuye,disminuye a medida que aumenta la humedad relativa.,aumenta a medida que aumenta la humedad relativa.,B,DownloadBalotario (2).pdf,False
PREG202411060318,5321,METEOROLOGÍA,5321.- La circulación general del aire asociada a una zona de altas presiones en el hemisferio norte es:,"hacia fuera, hacia abajo y en el sentido de las agujas del reloj.","hacia fuera, hacia arriba y en el sentido de las agujas del reloj.","hacia adentro, hacia abajo y en el sentido de las agujas del reloj.",A,DownloadBalotario (2).pdf,False
PREG202411060319,5322,METEOROLOGÍA,5322.- La mejor descripción de virga es:,serpentinas de precipitación que se arrastran por debajo de las nubes y que se evaporan antes de llegar al suelo.,torrentes de nubes de pared que se arrastran por debajo de los cumulonimbos y que se disipan antes de llegar al suelo.,zonas turbulentas bajo las nubes cumulonimbos.,A,DownloadBalotario (2).pdf,False
PREG202411060320,5323,METEOROLOGÍA,5323.- La humedad se añade al aire mediante:,sublimación y condensación.,evaporación y condensación.,evaporación y sublimación.,C,DownloadBalotario (2).pdf,False
PREG202411060321,5324,METEOROLOGÍA,5324.- Los gránulos de hielo encontrados durante el vuelo normalmente son una prueba de que:,un frente cálido ha pasado.,un frente cálido está a punto de pasar.,hay tormentas eléctricas en la zona.,B,DownloadBalotario (2).pdf,False
PREG202411060322,5325,METEOROLOGÍA,"5325.- ¿Qué indica encontrar granos de hielo a 8,000 pies?",Lluvia helada a mayor altitud.,Se está acercando una zona de tormentas.,Se encontrará con granizo si continua su vuelo.,A,DownloadBalotario (2).pdf,False
PREG202411060323,5326,METEOROLOGÍA,5326.- Los gránulos de hielo encontrados durante el vuelo son normalmente una prueba de que:,ha pasado un frente frío.,hay tormentas eléctricas en la zona.,la lluvia helada existe a mayor altitud.,C,DownloadBalotario (2).pdf,False
PREG202411060324,5327,METEOROLOGÍA,5327.- Cuando se pronostica un aire condicionalmente inestable con alto contenido de humedad y una temperatura superficial muy cálida ¿Qué tipo de tiempo se puede esperar?,Fuertes corrientes ascendentes y nubes grandes.,Visibilidad restringida cerca de la superficie en una zona amplia.,Fuertes corrientes ascendentes y nubes de desarrollo vertical.,C,DownloadBalotario (2).pdf,False
PREG202411060325,5328,METEOROLOGÍA,"5328.- ¿Cuál es la base aproximada de los cúmulos si la temperatura a 2,000 Pies MSL es de 10°C y el punto de rocío es de 1°C?","3,000 Pies MSL.","4,000 Pies MSL.","6,000 Pies MSL.",C,DownloadBalotario (2).pdf,False
PREG202411060326,5329,METEOROLOGÍA,"5329.- Si las nubes se forman como resultado de un aire muy estable y húmedo que se ve obligado a ascender por la ladera de una montaña, las nubes serán:",nubes tipo cirrus sin desarrollo vertical ni turbulencia.,nubes tipo cúmulo con considerable desarrollo vertical y turbulencia.,nubes tipo estratos con poco desarrollo vertical y poca o ninguna turbulencia.,C,DownloadBalotario (2).pdf,False
PREG202411060327,5330,METEOROLOGÍA,5330.- ¿Qué determina la estructura o el tipo de nubes que se formarán como consecuencia del ascenso forzado del aire?,El método por el que se eleva el aire.,La estabilidad del aire antes de que se produzca la elevación.,La humedad relativa del aire después de la elevación.,B,DownloadBalotario (2).pdf,False
PREG202411060328,5331,METEOROLOGÍA,5331 .- Consulte el extracto del siguiente informe: METAR: KTUS ««« 08004 KT 4 SM HZ « 26/04 A 2995 RMK RAE 36 ¿A qué altitud AGL aproximadamente deberían esperarse bases de nubes cumulonimbos de tipo convectivo?,"4,400 Pies.","8,800 Pies.","17,600 Pies.",B,DownloadBalotario (2).pdf,False
PREG202411060329,5332,METEOROLOGÍA,5332.- ¿Cuáles son las características del aire estable?,Buena visibilidad; precipitación constante; nubes estratos.,Poca visibilidad; precipitaciones constantes; nubes estratos.,Poca visibilidad; precipitaciones intermitentes; cúmulos de nubes.,B,DownloadBalotario (2).pdf,False
PREG202411060330,5333,METEOROLOGÍA,5333.- ¿Cuál de las siguientes disminuiría la estabilidad de una masa de aire?,Calentamiento desde abajo.,Enfriamiento desde abajo.,Disminución del vapor de agua.,A,DownloadBalotario (2).pdf,False
PREG202411060331,5334,METEOROLOGÍA,5334.- ¿A partir de que medición de la atmósfera se puede determinar la estabilidad?,Presión atmosférica.,El gradiente térmico vertical.,El gradiente adiabático seco.,B,DownloadBalotario (2).pdf,False
PREG202411060332,5335,METEOROLOGÍA,5335.- ¿Qué tipo de tiempo se puede esperar del aire húmedo e inestable y de las temperaturas superficiales muy cálidas?,Nieblas y nubes bajas.,Precipitaciones fuertes y continuas.,Fuertes corrientes ascendentes y nubes cumulonimbos.,C,DownloadBalotario (2).pdf,False
PREG202411060333,5336,METEOROLOGÍA,5336.- ¿Qué aumentaría la estabilidad de una masa de aire?,Calentamiento desde abajo.,Enfriamiento desde abajo.,Disminución del vapor de agua.,B,DownloadBalotario (2).pdf,False
PREG202411060334,5337,METEOROLOGÍA,5337.- Las condiciones necesarias para la formación de nubes estratiformes son una acción de elevación y:,aire inestable y seco.,aire estable y húmedo.,aire inestable y húmedo.,B,DownloadBalotario (2).pdf,False
PREG202411060335,5338,METEOROLOGÍA,5338.- ¿Qué tipos de nubes indicarían una turbulencia convectiva?,Nubes tipo cirrus.,Nubes tipo nimbostrato.,Nubes tipo cúmulos.,C,DownloadBalotario (2).pdf,False
PREG202411060336,5339,METEOROLOGÍA,5339.- La presencia de nubes lenticulares altocúmulos es un buen indicio de:,formación de hielo lenticular en aire tranquilo.,turbulencia muy fuerte.,condiciones de fuerte helada.,B,DownloadBalotario (2).pdf,False
PREG202411060337,5340,METEOROLOGÍA,5340.- La formación de nubes predominantemente estratiformes o predominantemente cumulonimbos depende de:,la fuente de elevación.,la estabilidad del aire que se eleva.,la temperatura del aire que se eleva.,B,DownloadBalotario (2).pdf,False
PREG202411060338,5341,METEOROLOGÍA,"5341.- ¿Qué combinación de variables meteorológicas produciría probablemente nubes de tipo cumuliforme, buena visibilidad y lluvia torrencial?","Aire estable, húmedo y elevación orográfica.","Aire inestable, húmedo y elevación orográfica.","Aire inestable, húmedo y sin mecanismo de elevación.",B,DownloadBalotario (2).pdf,False
PREG202411060339,5342,METEOROLOGÍA,5342.- ¿Cuál es una característica del aire estable?,Nubes estratiformes.,Cúmulos de buen tiempo.,Disminución rápida de la temperatura con la altitud.,A,DownloadBalotario (2).pdf,False
PREG202411060340,5343,METEOROLOGÍA,5343.- Una masa de aire húmeda e inestable se caracteriza por:,poca visibilidad y aire suave.,nubes cumulonimbos y precipitaciones en chubasco.,nubes estratiformes y precipitaciones continuas.,B,DownloadBalotario (2).pdf,False
PREG202411060341,5343.1,METEOROLOGÍA,5343.1-¿Cuáles son las características de una atmosfera inestable?,Una masa de aire fresco y seco.,Una masa de aire cálido y húmedo.,Aire descendente en el hemisferio norte.,B,DownloadBalotario (2).pdf,False
PREG202411060342,5344,METEOROLOGÍA,5344.- Cuando una masa de aire es estable ¿cuál de estas condiciones es más probable que exista?,Numerosos cúmulos y cumulonimbos.,Cambio de turbulencia de moderada a severa en los niveles inferiores.,"Calima, el polvo, la bruma, etc. Se concentran en los niveles inferiores con la consiguiente mala visibilidad.",C,DownloadBalotario (2).pdf,False
PREG202411060343,5345,METEOROLOGÍA,5345.- ¿Cuál es una característica del aire estable?,Nubes cumulonimbo.,Excelente visibilidad.,Visibilidad restringida.,C,DownloadBalotario (2).pdf,False
PREG202411060344,5346,METEOROLOGÍA,5346.- ¿Cuál es una característica típica de una masa de aire estable?,Nubes cumulonimbos.,Precipitaciones en chubasco.,Precipitaciones continuas.,C,DownloadBalotario (2).pdf,False
PREG202411060345,5347,METEOROLOGÍA,5347.- ¿Cuál afirmación es verdadera sobre la oclusión de un frente frío? El aire por delante del frente cálido:,es más frío que el aire que está detrás del frente frío que lo adelanta.,es más cálido que el aire detrás del frente frío que lo sobrepasa.,tiene la misma temperatura que el aire que está detrás del frente frío que lo adelanta.,B,DownloadBalotario (2).pdf,False
PREG202411060346,5348,METEOROLOGÍA,5348.- ¿Cuáles son las características de una masa de aire frío que se desplaza sobre una superficie cálida?,"Nubes cumulonimbos, turbulencia y poca visibilidad.","Nubes cumulonimbos, turbulencia y buena visibilidad.","Nubes estratiformes, aire suave y poca visibilidad.",B,DownloadBalotario (2).pdf,False
PREG202411060347,5349,METEOROLOGÍA,5349.- Las condiciones necesarias para la formación de cumulonimbos son una acción de elevación y:,aire inestable y seco.,aire estable y húmedo.,aire inestable y húmedo.,C,DownloadBalotario (2).pdf,False
PREG202411060348,5350,METEOROLOGÍA,5350.- La niebla producida por la actividad frontal es el resultado de la saturación debido a:,enfriamiento nocturno.,enfriamiento adiabático.,evaporación de las precipitaciones.,C,DownloadBalotario (2).pdf,False
PREG202411060349,5351,METEOROLOGÍA,5351.- ¿Cuál es una característica importante respecto a la cizalladura del viento?,Sólo está presente en los niveles inferiores y existe en sentido horizontal.,Está presente en cualquier nivel y sólo existe en sentido vertical.,Puede estar presente en cualquier nivel y puede existir tanto en sentido horizontal como vertical.,C,DownloadBalotario (2).pdf,False
PREG202411060350,5352,METEOROLOGÍA,5352.- Es habitual encontrar una cizalladura de viento peligrosa:,cerca de la actividad frontal cálida o estacionaria.,cuando la velocidad del viento es superior a 35 nudos.,en áreas de inversión de temperatura y cerca de tormentas.,C,DownloadBalotario (2).pdf,False
PREG202411060351,5353,METEOROLOGÍA,5353.- La cizalladura del viento a bajo nivel puede ocurrir cuando:,los vientos de superficie son ligeros y variables.,hay una inversión de temperatura en niveles bajos con fuertes vientos por encima de la inversión.,. los vientos de superficie son superiores a 15 nudos y no hay cambios en la dirección y la velocidad del viento con la altura.,B,DownloadBalotario (2).pdf,False
PREG202411060352,5354,METEOROLOGÍA,"5354.- Si se encuentra una inversión de temperatura inmediatamente después del despegue o durante la aproximación al aterrizaje, existe un peligro potencial debido a:",la cizalladura del viento.,los fuertes vientos de superficie.,las fuertes corrientes convectivas.,A,DownloadBalotario (2).pdf,False
PREG202411060353,5355,METEOROLOGÍA,"5355.- DADO: Vientos a 3.000 pies AGL 30 Nudos. Vientos en superficie: Calmados. Durante la aproximación para el aterrizaje bajo cielos despejados con turbulencia convectiva unas horas después del amanecer, se debe:",aumentar la velocidad de aproximación ligeramente por encima de lo normal para evitar la entrada en pérdida.,mantener la velocidad de aproximación en el nivel normal o ligeramente inferior para compensar la flotación.,"no alterar la velocidad del aire de aproximación, estas condiciones son casi ideales.",A,DownloadBalotario (2).pdf,False
PREG202411060354,5356,METEOROLOGÍA,"5356.- Las corrientes convectivas son más activas en las tardes cálidas de verano, cuando los vientos son:",bajos.,moderados.,fuertes.,A,DownloadBalotario (2).pdf,False
PREG202411060355,5357,METEOROLOGÍA,"5357.- Cuando se vuele a baja altura sobre terrenos accidentados, crestas o cordilleras, el mayor peligro potencial de las corrientes de aire turbulentas se encontrará normalmente en el:",sotavento cuando se vuela con viento de cola.,sotavento cuando se vuela contra el viento.,barlovento cuando se vuela contra el viento.,B,DownloadBalotario (2).pdf,False
PREG202411060356,5358,METEOROLOGÍA,"5358.- Durante una aproximación, el medio más importante y más fácilmente reconocible para ser alertado de una posible cizalladura del viento es la monitorización de la:",cantidad de compensador requerido para aliviar las presiones de control.,cambios de rumbo necesarios para permanecer en línea central de la pista.,potencia y velocidad vertical necesarias para mantenerse en la senda de planeo adecuada.,C,DownloadBalotario (2).pdf,False
PREG202411060357,5359,METEOROLOGÍA,"5359.- Durante la salida, en condiciones de sospecha de cizalladura del viento en niveles bajos, una disminución repentina del viento en contra provocará:",una pérdida de velocidad del aire igual a la disminución de la velocidad del viento.,una ganancia de velocidad del aire igual a la disminución de la velocidad del viento.,"no hay cambios en la velocidad del aire, pero la velocidad con respecto al suelo disminuirá.",A,DownloadBalotario (2).pdf,False
PREG202411060358,5360,METEOROLOGÍA,5360.-¿Qué situación es más probable que produzca una precipitación helada? La lluvia que cae del aire que tiene una temperatura de:,32°F menos en aire con una temperatura superior a 32 °F.,0°C o menos en un aire con una temperatura de 0 °C o más.,más de 32°F en el aire que tiene una temperatura de 32 °F o menos.,C,DownloadBalotario (2).pdf,False
PREG202411060359,5361,METEOROLOGÍA,5361.- ¿Qué afirmación es cierta sobre los peligros del granizo?,Los daños del granizo en vuelo horizontal son mínimos debido al movimiento vertical del granizo en las nubes.,La lluvia en la superficie es una indicación fiable de que no hay granizo en el aire.,Los granizos pueden encontrarse en el aire a varios kilómetros de una tormenta.,C,DownloadBalotario (2).pdf,False
PREG202411060360,5362,METEOROLOGÍA,5362.- El granizado es más probable que se asocie con:,nubes cúmulos.,nubes cumulonimbos.,nubes estratocúmulos.,B,DownloadBalotario (2).pdf,False
PREG202411060361,5363,METEOROLOGÍA,"5363.- Las condiciones meteorológicas más severas, como los vientos destructivos, el granizo intenso y los tornados, suelen estar asociadas a:",frentes cálidos de movimiento lento que se inclinan por encima de la tropopausa.,líneas de borrasca.,frentes ocluidos de rápido movimiento.,B,DownloadBalotario (2).pdf,False
PREG202411060362,5364,METEOROLOGÍA,"5364.- De las siguientes afirmaciones, ¿cuál es correcta en relación con la turbulencia asociada a las tormentas eléctricas?","Fuera de la nube, la turbulencia de cizalladura puede encontrarse a 50 millas lateralmente de una tormenta severa.",La turbulencia de cizalladura sólo se encuentra en el interior de los cumulonimbos o en un radio de 8 kilómetros de estos.,"Fuera de la nube, la turbulencia de cizalladura puede encontrarse a 20 millas lateralmente de una tormenta severa.",C,DownloadBalotario (2).pdf,False
PREG202411060363,5365,METEOROLOGÍA,"5365.- Si el radar aéreo indica un eco de tormenta extremadamente intenso, esta tormenta debe evitarse a una distancia de al menos:",20 millas.,10 millas.,5 millas.,A,DownloadBalotario (2).pdf,False
PREG202411060364,5366,METEOROLOGÍA,5366.- ¿Qué afirmación es cierta respecto a las líneas de borrasca?,Siempre se asocian a los frentes fríos.,"Son lentos en su formación, pero rápidos en su movimiento.",No son frontales y a menudo contienen tormentas severas y estables.,C,DownloadBalotario (2).pdf,False
PREG202411060365,5367,METEOROLOGÍA,5367.- ¿Qué afirmación es cierta respecto a las líneas de borrasca?,"Se forman lentamente, pero se mueven rápidamente.",Se asocia únicamente a los sistemas frontales.,Ofrecen los riesgos meteorológicos más intensos paras las aeronaves.,C,DownloadBalotario (2).pdf,False
PREG202411060366,5368,METEOROLOGÍA,5368.- Seleccione la afirmación correcta respecto al ciclo de vida de una tormenta eléctrica:,las corrientes de aire continúan desarrollándose durante la fase de disipación de una tormenta.,el comienzo de la lluvia en la superficie de la tierra indica la fase de madurez de la tormenta.,el comienzo de la lluvia en la superficie de la tierra indica la fase de disipación de la tormenta.,B,DownloadBalotario (2).pdf,False
PREG202411060367,5369,METEOROLOGÍA,5369.- ¿Qué signos visibles indican una turbulencia extrema en las tormentas?,"Base de las nubes cerca de la superficie, fuerte lluvia y granizo.","Bajo techo y visibilidad, granizo y precipitación estática.","Nubes cumulonimbos, relámpagos muy frecuentes y nubes en rodillo (Arcus).",C,DownloadBalotario (2).pdf,False
PREG202411060368,5370,METEOROLOGÍA,5370.- ¿Qué fenómeno meteorológico indica el comienzo de la fase de madurez de una tormenta?,El comienzo de la lluvia.,El aspecto de la parte superior de un yunque.,La tasa de crecimiento de la nube es máxima.,A,DownloadBalotario (2).pdf,False
